
📺️港台✨阿星▶️,#genre#
香港卫视✨阿星,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视✨阿星,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视✨阿星,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
JP新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
金庸武侠✨阿星,http://182.40.120.191/test-txdwk.flv.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.flv
香港贺岁片,http://182.40.120.195/test-txdwk.flv.huya.com/src/1524418059-1524418059-6547325708836798464-3048959574-10057-A-0-1.flv
星光综合台✨阿星,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
RTHK33✨阿星,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34✨阿星,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35✨阿星,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
翡翠台-1✨阿星,http://php.jdshipin.com/smt.php?id=Tvbjade
翡翠台-2✨阿星,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台-2✨阿星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台-3✨阿星,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
澳门莲花✨阿星,http://php.jdshipin.com:8880/amlh.php
HOY77✨阿星,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
大爱1台✨阿星,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台✨阿星,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
HK佛陀✨佛教,http://live.jingzong.org/live/hd/playlist.m3u8
华藏TV✨佛教,https://vod.amtb.de/liveedge/_definst_/livetv/playlist.m3u8
生命TV✨佛教,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
