📺️央视✨阿星▶️,#genre#
CCTV1✨阿星,http://59.55.255.104:6565/rtp/239.252.219.200:5140
CCTV2✨阿星,http://59.55.255.104:6565/rtp/239.252.220.183:5140
CCTV3✨阿星,http://59.55.255.104:6565/rtp/239.252.219.252:5140
CCTV3✨阿星,http://59.55.255.104:6565/rtp/239.252.220.193:5140
CCTV4✨阿星,http://59.55.255.104:6565/rtp/239.252.220.184:5140
CCTV5✨阿星,http://59.55.255.104:6565/rtp/239.252.219.236:5140
CCTV5✨阿星,http://59.55.255.104:6565/rtp/239.252.219.198:5140
CCTV5+✨阿星,http://59.55.255.104:6565/rtp/239.252.219.72:5140
CCTV6✨阿星,http://59.55.255.104:6565/rtp/239.252.219.237:5140
CCTV6✨阿星,http://59.55.255.104:6565/rtp/239.252.220.195:5140
CCTV7✨阿星,http://59.55.255.104:6565/rtp/239.252.220.185:5140
CCTV8✨阿星,http://59.55.255.104:6565/rtp/239.252.219.253:5140
CCTV8✨阿星,http://59.55.255.104:6565/rtp/239.252.220.196:5140
CCTV9✨阿星,http://59.55.255.104:6565/rtp/239.252.220.186:5140
CCTV10✨阿星,http://59.55.255.104:6565/rtp/239.252.220.91:5140
CCTV11✨阿星,http://59.55.255.104:6565/rtp/239.252.219.78:5140
CCTV12✨阿星,http://59.55.255.104:6565/rtp/239.252.220.187:5140
CCTV13✨阿星,http://59.55.255.104:6565/rtp/239.252.219.139:5140
CCTV14✨阿星,http://59.55.255.104:6565/rtp/239.252.220.92:5140
CCTV15✨阿星,http://59.55.255.104:6565/rtp/239.252.219.79:5140
CCTV16-4K✨阿星,http://59.55.255.104:6565/rtp/239.252.220.237:5140
CCTV17✨阿星,http://59.55.255.104:6565/rtp/239.252.220.192:5140
CETV1✨阿星,http://59.55.255.104:6565/rtp/239.252.220.198:5140
CETV4✨阿星,http://59.55.255.104:6565/rtp/239.252.219.169:5140
CWTV天气✨阿星,http://59.55.255.104:6565/rtp/239.252.219.143:5140


📺️卫视✨阿星▶️,#genre#
湖南卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.201:5140
浙江卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.210:5140
江苏卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.214:5140
东方卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.229:5140
北京卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.206:5140
安徽卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.83:5140
天津卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.61:5140
重庆卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.94:5140
广东卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.213:5140
深圳卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.212:5140
湖北卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.208:5140
东南卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.82:5140
山东卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.228:5140
江西卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.63:5140
吉林卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.188:5140
辽宁卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.62:5140
黑龙江卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.211:5140
四川卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.93:5140
河南卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.189:5140
河北卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.154:5140
广西卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.183:5140
陕西卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.105:5140
山西卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.27:5140
贵州卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.190:5140
甘肃卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.140:5140
厦门卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.75:5140
云南卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.185:5140
海南卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.178:5140
西藏卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.106:5140
宁夏卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.104:5140
青海卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.46:5140
内蒙古卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.48:5140
新疆卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.100:5140
兵团卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.107:5140
三沙卫视✨阿星,http://59.55.255.104:6565/rtp/239.252.219.76:5140

📺️江西频道✨阿星▶️,#genre#
江西都市✨阿星,http://59.55.255.104:6565/rtp/239.252.220.238:5140
江西经济✨阿星,http://59.55.255.104:6565/rtp/239.252.219.173:5140
江西影旅✨阿星,http://59.55.255.104:6565/rtp/239.252.220.242:5140
江西农业✨阿星,http://59.55.255.104:6565/rtp/239.252.220.102:5140
江西少儿✨阿星,http://59.55.255.104:6565/rtp/239.252.219.113:5140
江西新闻✨阿星,http://59.55.255.104:6565/rtp/239.252.220.100:5140
江西电视✨阿星,http://59.55.255.104:6565/rtp/239.252.220.241:5140
江西教育✨阿星,http://59.55.255.104:6565/rtp/239.252.219.115:5140
江西陶瓷✨阿星,http://59.55.255.104:6565/rtp/239.252.220.243:5140

📺️少儿✨阿星▶️,#genre#
金鹰卡通✨阿星,http://59.55.255.104:6565/rtp/239.252.219.69:5140
动漫秀场✨阿星,http://59.55.255.104:6565/rtp/239.252.219.59:5140
炫动卡通✨阿星,http://59.55.255.104:6565/rtp/239.252.219.43:5140
卡酷卡通✨阿星,http://59.55.255.104:6565/rtp/239.252.219.109:5140
嘉佳卡通✨阿星,http://59.55.255.104:6565/rtp/239.252.219.92:5140
动画频道✨阿星,http://59.55.255.104:6565/rtp/239.252.219.165:5140


📺️影剧场✨阿星▶️,#genre#
武侠剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.88:5140
城市剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.75:5140
军旅剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.76:5140
古装剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.77:5140
喜剧影院✨阿星,http://59.55.255.104:6565/rtp/239.252.220.79:5140
动作影院✨阿星,http://59.55.255.104:6565/rtp/239.252.220.85:5140
家庭影院✨阿星,http://59.55.255.104:6565/rtp/239.252.220.86:5140
热播剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.138:5140
经典电影✨阿星,http://59.55.255.104:6565/rtp/239.252.220.139:5140
爱综艺频道✨阿星,http://59.55.255.104:6565/rtp/239.252.220.140:5140
爱体育频道✨阿星,http://59.55.255.104:6565/rtp/239.252.220.141:5140
爱电影频道✨阿星,http://59.55.255.104:6565/rtp/239.252.220.142:5140
爱大剧频道✨阿星,http://59.55.255.104:6565/rtp/239.252.220.143:5140
碟战剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.145:5140
相声小品✨阿星,http://59.55.255.104:6565/rtp/239.252.220.146:5140
都市剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.219.225:5140
欢笑剧场4K✨阿星,http://59.55.255.104:6565/rtp/239.252.219.224:5140
CHC高清电影✨阿星,http://59.55.255.104:6565/rtp/239.252.219.83:5140
CHC家庭影院✨阿星,http://59.55.255.104:6565/rtp/239.252.219.84:5140
CHC动作电影✨阿星,http://59.55.255.104:6565/rtp/239.252.219.85:5140
风云剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.219.89:5140
怀旧剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.219.90:5140
第一剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.219.86:5140
风云音乐✨阿星,http://59.55.255.104:6565/rtp/239.252.219.87:5140
音乐现场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.87:5140
星影剧场✨阿星,http://59.55.255.104:6565/rtp/239.252.220.210:5140
收视指南✨阿星,http://59.55.255.104:6565/rtp/239.252.220.144:5140

📺️综合频道✨阿星▶️,#genre#
法治天地✨阿星,http://59.55.255.104:6565/rtp/239.252.219.56:5140
财富天下✨阿星,http://59.55.255.104:6565/rtp/239.252.220.240:5140
东方财经✨阿星,http://59.55.255.104:6565/rtp/239.252.219.57:5140
兵器科技✨阿星,http://59.55.255.104:6565/rtp/239.252.219.98:5140
世界地理✨阿星,http://59.55.255.104:6565/rtp/239.252.219.93:5140
文物宝库✨阿星,http://59.55.255.104:6565/rtp/239.252.220.158:5140
央视台球✨阿星,http://59.55.255.104:6565/rtp/239.252.219.80:5140
高尔夫网球✨阿星,http://59.55.255.104:6565/rtp/239.252.219.95:5140
风云足球✨阿星,http://59.55.255.104:6565/rtp/239.252.219.96:5140
爱体育高清✨阿星,http://59.55.255.104:6565/rtp/239.252.220.211:5140
央视精品✨阿星,http://59.55.255.104:6565/rtp/239.252.219.81:5140
生活时尚✨阿星,http://59.55.255.104:6565/rtp/239.252.219.54:5140
金色频道✨阿星,http://59.55.255.104:6565/rtp/239.252.219.63:5140

📺️港台✨阿星▶️,#genre#
香港卫视✨阿星,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视✨阿星,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视✨阿星,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
JP新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
金庸武侠✨阿星,http://182.40.120.191/test-txdwk.flv.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1.flv
香港贺岁片,http://182.40.120.195/test-txdwk.flv.huya.com/src/1524418059-1524418059-6547325708836798464-3048959574-10057-A-0-1.flv
星光综合台✨阿星,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
RTHK33✨阿星,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34✨阿星,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35✨阿星,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
翡翠台-1✨阿星,http://php.jdshipin.com/smt.php?id=Tvbjade
翡翠台-2✨阿星,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台-2✨阿星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台-3✨阿星,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
澳门莲花✨阿星,http://php.jdshipin.com:8880/amlh.php
HOY77✨阿星,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
大爱1台✨阿星,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台✨阿星,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
HK佛陀✨佛教,http://live.jingzong.org/live/hd/playlist.m3u8
华藏TV✨佛教,https://vod.amtb.de/liveedge/_definst_/livetv/playlist.m3u8
生命TV✨佛教,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8



📺️医工✨阿星备1▶️,#genre#
CCTV1✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv1avs
CCTV1✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv1
CCTV2✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv2
CCTV3✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv3avs
CCTV3✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv3
CCTV4✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv4
CCTV4K✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv4k
CCTV5✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5avs
CCTV5✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5
CCTV5+✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5p
CCTV6✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv6
CCTV6✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv6avs
CCTV7✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv7
CCTV8✨阿星,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv8
