📺️羊狮✨阿星▶️,#genre#
CCTV1HD,http://59.55.255.104:6565/rtp/239.252.219.200:5140
CCTV2HD,http://59.55.255.104:6565/rtp/239.252.220.183:5140
CCTV3HD,http://59.55.255.104:6565/rtp/239.252.219.252:5140
CCTV4HD,http://59.55.255.104:6565/rtp/239.252.220.184:5140
CCTV5HD,http://59.55.255.104:6565/rtp/239.252.219.236:5140
CCTV5+高清,http://59.55.255.104:6565/rtp/239.252.219.72:5140
CCTV6HD,http://59.55.255.104:6565/rtp/239.252.219.237:5140
CCTV7HD,http://59.55.255.104:6565/rtp/239.252.220.185:5140
CCTV8HD,http://59.55.255.104:6565/rtp/239.252.219.253:5140
CCTV9HD,http://59.55.255.104:6565/rtp/239.252.220.186:5140
CCTV10HD,http://59.55.255.104:6565/rtp/239.252.220.91:5140
CCTV11HD,http://59.55.255.104:6565/rtp/239.252.219.78:5140
CCTV12HD,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.220.187:5140
CCTV13HD,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.219.139:5140
CCTV14HD,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.220.92:5140
CCTV15HD,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.219.79:5140
CCTV16-4K,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.220.237:5140
CCTV17HD,http://24233132333435362324242fe1e5f27f70b735fe91b507d8e42bbd0af2f66f3334555cec5d2eb6edf76b31373337353139383334393432/rtp/239.252.220.192:5140
